#mpa_vOct22_CHOCOPhlAnSGB_202212																			
clade_name	ETV364_1_filtered.fastqd_metagenome	ETV364_12_filtered.fastqd_metagenome	ETV364_15_filtered.fastqd_metagenome	ETV364_16_filtered.fastqd_metagenome	ETV364_17_filtered.fastqd_metagenome	ETV364_20_filtered.fastqd_metagenome	ETV364_21_filtered.fastqd_metagenome	ETV364_29_filtered.fastqd_metagenome	ETV364_3_filtered.fastqd_metagenome	ETV364_30_filtered.fastqd_metagenome	ETV364_32_filtered.fastqd_metagenome	ETV364_33_filtered.fastqd_metagenome	ETV364_35_filtered.fastqd_metagenome	ETV364_36_filtered.fastqd_metagenome	ETV364_37_filtered.fastqd_metagenome	ETV364_38_filtered.fastqd_metagenome	ETV364_50_filtered.fastqd_metagenome	ETV364_7_filtered.fastqd_metagenome	ETV364_8_filtered.fastqd_metagenome
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	0.01114	0	0.00024	0.01792	0.00684	0.00028	0.00919	0.00439	0.01213	0.0296	0.02745	0.01552	0.00067	0.00451	0.00233	0.01344	0.00103	6e-05	0.00668
k__Bacteria|p__Firmicutes|c__CFGB76308|o__OFGB76308	0.00551	0	0	0.00426	0	0	0	0	0	0.00229	0	0	0	0	0.00849	0	0.00432	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791	0.00527	0.00542	0	0.00222	0	0	0	0.00249	0	0.02262	0.05013	0	0.56115	0	0.00756	0.00742	0.05256	0.00242	0
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	0.0051	0.00579	0	0.04395	0	0.00707	0	0	0.01034	0.22876	0.07013	0	0.00698	0	0.03205	0.01362	0.01203	0.12541	0.00667
k__Bacteria|p__Firmicutes|c__CFGB76355|o__OFGB76355	0.00427	0.00202	0	0	0	0	0.00477	0	0	0	0	0	0	0	0.0293	0	0.03241	0	0
k__Bacteria|p__Firmicutes|c__CFGB76074|o__OFGB76074	0.00085	0.01276	0	0	0	0	0	0	0.09827	0	0	0	0	0.04707	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.00068	0	0	0.00176	0	0	0.02071	0	0.00216	0	0	0	0	0	0	0	0.00062	0.00012	0
k__Bacteria|p__Firmicutes|c__CFGB49426|o__OFGB49426	0.0006	0.05829	0	0.70997	0.46255	0.01575	0.96643	0.05397	0	0.05096	0.37464	0.05085	0.01856	0.06509	0.33596	0.05739	0.20085	0.06027	0.3761
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	24.61558	36.91582	25.20678	37.45428	4.67822	25.17149	15.23617	8.84827	18.95123	16.95535	19.30991	18.42339	15.65622	21.68127	30.36931	10.38866	13.78191	39.69558	10.09533
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	16.62707	14.5289	13.11629	10.85243	13.58296	11.74104	8.99716	16.98718	18.38286	30.23423	16.86314	8.26516	18.64505	18.01786	13.70875	15.53438	23.83562	13.16443	12.61241
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	9.11885	6.55159	0.39657	4.86489	0	0.83331	0.44475	0	0.29986	3.31534	1.9637	0	0.98339	1.33633	7.83761	0.34883	3.32929	5.60851	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	6.68364	5.10061	11.28211	7.86566	11.23125	4.52445	7.4059	7.04601	5.60604	3.77553	7.78767	6.488	9.86958	3.13724	7.3357	2.83183	7.91963	5.11523	4.36039
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	5.79162	3.01274	6.23234	5.47559	9.20704	5.3094	6.5464	6.56286	11.10485	5.25207	6.55844	7.53163	8.75957	8.94946	6.48642	9.57909	9.38058	4.67139	11.17705
k__Bacteria|p__Firmicutes|c__CFGB76293|o__OFGB76293|f__FGB76293	4.57155	5.96397	5.54145	4.97651	7.80944	2.17083	6.40313	4.88407	3.82808	5.88803	6.31065	4.8647	6.76749	2.71351	3.9557	5.19506	7.95376	3.56655	5.92904
k__Bacteria|p__Firmicutes|c__CFGB8152|o__OFGB8152|f__FGB8152	4.44106	0.23213	0.47229	0.0929	3.80243	0.44027	1.35673	2.62895	0.28739	0.92476	0.59044	0.55688	0.43906	0.76761	1.48427	0	0.72354	0.33681	0.03705
k__Bacteria|p__Firmicutes|c__CFGB28820|o__OFGB28820|f__FGB28820	3.76089	0	0	3.74189	0	0	0.00445	0	1.19773	4.93315	1.49306	0	1.8665	0	3.55853	0	4.30919	1.65897	0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae	3.53862	3.42183	3.67928	0	0	0	0	0	2.94494	1.40825	8.7867	0	6.30501	0	0	0	7.18796	1.44085	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2.74875	0.42202	0.34707	0.49408	0.71869	0.40309	0.2672	0.40462	0.6859	0.50954	0.41019	0.44566	0.79983	0.22096	0.63987	0.57632	0.68223	0.40065	0.46621
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2.33589	4.88274	10.94769	3.46315	16.11876	7.37858	28.26554	19.04557	19.41921	2.25234	5.84314	14.36489	6.49325	14.09435	4.77709	12.88847	3.46196	10.36514	21.84131
k__Bacteria|p__Bacteria_unclassified|c__CFGB76064|o__OFGB76064|f__FGB76064	2.10215	0.19638	0.61801	2.37385	1.55539	0.60116	1.5379	0.50945	0.42418	0.3835	0.58963	0.94254	0.77575	0.91818	0.27386	0.3138	0.84715	0.89369	1.66125
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	1.29696	5.54371	0.03262	1.71146	0.02768	0.01438	0.0145	0.05089	0.03277	8.47647	0.09875	0.05472	0.0519	1.0437	7.04189	0.09889	0.14491	0.26212	0.01844
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	1.21959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790|f__FGB76790	0.87285	0.41486	1.54633	0.96035	2.0557	0.59864	3.60899	1.96863	0.84815	0.79688	0.81406	1.45213	0.8353	1.64331	1.51089	1.84186	1.16821	0.74548	1.17579
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified	0.80334	0.07908	1.35244	0.05317	0.74838	0.08332	0.77763	0.47348	0.43188	0.36026	0.37559	0.39788	0.02553	0.19351	0.67137	0.46596	0.35973	0.40017	0.19446
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	0.59412	0.4584	0.13474	1.90853	0.50637	0.10221	0.10955	0.10341	0.05999	0.85732	0.72715	0.03182	0.42506	0.13023	0.29995	0.3858	0.75385	0.87128	0.03332
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.54743	0.54743	0.53344	0.73819	0.37507	0.32366	0.73226	0.92163	0.88378	0.60729	0.35948	0.81803	0.78075	0.41228	0.31016	0.73332	0.53474	0.82553	0.57334
