Ensembl.Gene.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Associated.Gene.Name
ENSMUSG00000003555,916.1046604,2.013000766,0.362253107,5.556890268,2.75E-08,3.51E-06,Cyp17a1
ENSMUSG00000040006,1120.705529,-0.311947304,0.056181285,-5.552512806,2.82E-08,3.57E-06,Ginm1
ENSMUSG00000100277,130.466688,1.354152524,0.244514548,5.538126599,3.06E-08,3.83E-06,1810053B23Rik
ENSMUSG00000024099,2067.679868,0.195883416,0.035485607,5.520080814,3.39E-08,4.20E-06,Ndufv2
ENSMUSG00000046415,57.59505462,-2.118793536,0.385107553,-5.501822848,3.76E-08,4.61E-06,B430212C06Rik
ENSMUSG00000034220,1048.206926,-0.840623093,0.153179862,-5.487817292,4.07E-08,4.95E-06,Gpc1
ENSMUSG00000017754,2924.899543,1.08115194,0.197697237,5.468725592,4.53E-08,5.45E-06,Pltp
ENSMUSG00000000563,3681.222214,0.16338653,0.029900668,5.464310356,4.65E-08,5.54E-06,Atp5f1
ENSMUSG00000017390,209.3340064,1.09009212,0.199568204,5.462253489,4.70E-08,5.55E-06,Aldoc
ENSMUSG00000031808,401.5764511,0.654667699,0.120894559,5.415195729,6.12E-08,7.15E-06,Slc27a1
ENSMUSG00000075517,728.7555545,-0.435441551,0.080510051,-5.408536484,6.35E-08,7.35E-06,Cyp2d37-ps
ENSMUSG00000066441,946.7116767,1.275621358,0.236515722,5.393389275,6.91E-08,7.92E-06,Rdh11
ENSMUSG00000035270,50.65454467,-0.813905624,0.151179672,-5.383697502,7.30E-08,8.28E-06,Impg2
ENSMUSG00000031349,1067.555282,1.517285201,0.282031368,5.379845548,7.45E-08,8.38E-06,Nsdhl
ENSMUSG00000025130,41745.40686,-0.242281599,0.045148216,-5.366360465,8.03E-08,8.95E-06,P4hb
ENSMUSG00000025393,28896.5367,0.172187396,0.03215979,5.354120687,8.60E-08,9.49E-06,Atp5b
ENSMUSG00000086771,95.57342508,-0.877196843,0.164317156,-5.338437352,9.38E-08,1.03E-05,1700080G11Rik
ENSMUSG00000024799,1404.6973,0.79719085,0.149418018,5.335306027,9.54E-08,1.03E-05,Tm7sf2
ENSMUSG00000001467,1566.368758,1.571424398,0.295259644,5.322178057,1.03E-07,1.10E-05,Cyp51
ENSMUSG00000025555,667.6008448,-0.271033107,0.050979903,-5.316469665,1.06E-07,1.13E-05,Farp1
ENSMUSG00000035864,234.013952,-0.758741474,0.142943176,-5.307993664,1.11E-07,1.17E-05,Syt1
ENSMUSG00000057561,565.4012691,0.421305179,0.079930736,5.270878234,1.36E-07,1.42E-05,Eif1a
ENSMUSG00000034312,1883.584035,-0.338840772,0.064343091,-5.266156252,1.39E-07,1.44E-05,Iqsec1
ENSMUSG00000028238,119.5670272,1.194792275,0.227446907,5.253060108,1.50E-07,1.53E-05,Atp6v0d2
ENSMUSG00000028986,339.5625999,0.376856853,0.071758532,5.251735849,1.51E-07,1.53E-05,Klhl7
ENSMUSG00000032849,139.8737803,0.617966337,0.117711488,5.249838798,1.52E-07,1.53E-05,Abcc4
ENSMUSG00000069324,1636.022693,0.78919065,0.150306944,5.250526871,1.52E-07,1.53E-05,Gm5096
ENSMUSG00000005615,2971.630331,0.301227089,0.05746992,5.241473938,1.59E-07,1.58E-05,Pcyt1a
ENSMUSG00000022139,714.5923257,0.265565333,0.050706497,5.237303846,1.63E-07,1.61E-05,Mbnl2
ENSMUSG00000079470,168.4912154,0.523991619,0.10035329,5.221469252,1.78E-07,1.74E-05,Utp14b
ENSMUSG00000027381,205.2039587,0.442406707,0.084763835,5.219286131,1.80E-07,1.74E-05,Bcl2l11
ENSMUSG00000045103,390.3616709,0.537214128,0.103123789,5.209410316,1.89E-07,1.82E-05,Dmd
ENSMUSG00000002741,1509.562803,-0.205393609,0.039453851,-5.205920368,1.93E-07,1.84E-05,Ykt6
